College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
Tier 1,Manager,Non-Metro,55523.00,3,66,19,71406.58
Tier 2,Executive,Metro,57081.00,1,84,18,68005.87
Tier 2,Executive,Metro,60347.00,2,52,28,76764.02
Tier 3,Executive,Metro,49010.00,2,81,33,82092.39
Tier 3,Executive,Metro,57879.00,4,74,32,73878.1
Tier 2,Executive,Non-Metro,54340.00,4,73,31,59950.89
Tier 2,Executive,Non-Metro,60298.00,1,42,46,66602.34
Tier 3,Executive,Non-Metro,49944.00,2,56,37,57768.44
Tier 1,Executive,Metro,53124.00,4,40,37,70083.3
Tier 3,Executive,Non-Metro,51141.00,1,47,60,85648.48
Tier 1,Executive,Metro,49497.00,1,50,25,74914.15
Tier 2,Manager,Non-Metro,50197.00,2,66,62,85219.39
Tier 1,Executive,Metro,63234.00,4,73,23,82910.94
Tier 2,Executive,Non-Metro,60059.00,2,71,56,74350.08
Tier 2,Manager,Metro,66487.00,1,50,27,103595.83
Tier 1,Executive,Metro,49292.00,4,49,19,70729.63
Tier 1,Executive,Non-Metro,55400.00,4,48,52,70051.94
Tier 1,Executive,Metro,53089.00,2,72,23,69403.49
Tier 1,Executive,Metro,69345.00,3,79,56,84710.53
Tier 1,Manager,Metro,63508.00,1,48,30,95879.94
Tier 1,Executive,Non-Metro,60057.00,1,61,60,73487.13
Tier 1,Executive,Non-Metro,52402.00,3,35,30,61597.98
Tier 2,Executive,Metro,60180.00,2,68,18,63119.8
Tier 1,Manager,Non-Metro,53422.00,4,44,34,98586.83
Tier 3,Executive,Metro,49857.00,3,37,37,71502.56
Tier 2,Executive,Non-Metro,48682.00,3,82,59,64320.67
Tier 1,Executive,Non-Metro,48516.00,2,37,63,77310.22
Tier 3,Executive,Non-Metro,54363.00,3,44,55,74825.2
Tier 3,Executive,Metro,39636.00,3,43,23,59230.44
Tier 1,Manager,Metro,65172.00,1,44,31,107138.14
Tier 1,Manager,Metro,58529.00,1,65,22,102763.61
Tier 1,Executive,Non-Metro,50011.00,2,72,18,69764.49
Tier 1,Executive,Non-Metro,50020.00,4,75,19,59889.14
Tier 3,Executive,Metro,55764.00,2,64,63,82356.41
Tier 1,Manager,Metro,60894.00,4,80,28,118651.89
Tier 3,Executive,Metro,42259.00,4,37,19,66762.27
Tier 3,Executive,Non-Metro,59978.00,2,75,62,79454.74
Tier 1,Executive,Metro,47129.00,1,41,26,66079.85
Tier 1,Manager,Metro,57485.00,1,77,35,103774.34
Tier 1,Manager,Metro,62593.00,3,71,60,112716.44
Tier 1,Executive,Non-Metro,48913.00,3,41,24,62819.16
